7.385233	9.912499	Cough
10.614517	13.085622	Cough
13.780620	15.879654	Cough
16.027078	17.466216	Cough
19.326564	20.934186	Cough
21.959133	24.921650	Cough
27.175129	29.210982	Cough
30.249970	31.317037	Cough
32.264762	33.717940	Cough
34.679705	38.632068	Cough
39.137521	40.337973	Cough
41.496303	43.321551	Cough
44.514982	45.729474	Cough
46.691239	47.772347	Cough
48.860475	49.471231	Cough
52.433749	52.960262	Cough
57.179392	59.706658	Cough
60.808827	62.044379	Cough
63.195689	64.410181	Cough
65.477249	67.456941	Cough
